Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-10-14,234.618,237.469,232.719,233.669,545.33606084316
2021-10-15,233.669,239.368,233.669,239.368,7806.3067396758
2021-10-18,240.318,246.017,235.569,237.469,3397.2962709284
2021-10-19,238.418,238.418,235.569,237.469,462.16704770299
2021-10-20,237.469,237.469,235.569,237.469,530.59724838794
2021-10-21,236.518,236.518,228.92,231.769,1471.7757008856
2021-10-22,232.719,235.569,232.719,235.569,417.95061033733
2021-10-25,235.569,235.569,229.869,232.719,582.18309198122
2021-10-26,232.719,235.569,225.12,227.969,982.23657290863
2021-10-27,225.12,227.969,220.371,222.271,1972.8953243631
2021-10-28,221.32,222.271,216.571,218.471,2273.9882073769
2021-10-29,218.471,218.471,206.122,212.771,13743.942614493
2021-11-02,212.771,213.722,208.022,208.022,6502.974609707
2021-11-03,209.922,216.571,209.922,215.622,1647.58867803
2021-11-04,220.371,220.371,208.972,208.972,8684.3188530796
2021-11-05,211.822,222.271,210.871,222.271,1555.997486344
2021-11-08,222.271,225.12,222.271,224.17,708.51577016882
2021-11-09,225.12,225.12,221.32,225.12,567.44427952599
2021-11-10,224.17,225.12,220.371,224.17,1084.3554877769
2021-11-12,224.17,224.17,219.42,222.271,467.43090929414
2021-11-15,221.32,224.17,214.671,217.521,825.37349749236
2021-11-16,219.42,221.32,216.571,220.371,354.78427124353
2021-11-17,223.22,224.17,218.471,218.471,688.51309612245
2021-11-18,218.471,220.371,213.722,215.622,5447.0439745223
2021-11-19,215.622,216.571,211.822,214.671,2631.9307955751
2021-11-22,214.671,219.42,208.022,219.42,3317.2855747429
2021-11-23,220.371,220.371,213.722,219.42,10145.566830783
2021-11-24,219.42,220.371,210.871,210.871,5864.9945848596
2021-11-25,214.671,215.622,210.871,210.871,944.33676945235
2021-11-26,208.972,209.922,201.373,202.323,6381.9057931105
2021-11-29,203.273,209.922,194.724,195.674,10079.242174734
2021-11-30,198.524,198.524,194.724,196.624,8528.5085499816
2021-12-01,196.624,205.173,196.624,201.373,2443.4845506119
2021-12-02,205.173,205.173,198.524,198.524,1291.7516344683
2021-12-03,201.373,201.373,196.624,199.473,14369.289371522
2021-12-06,199.473,200.423,196.624,197.573,2044.4838420027
2021-12-07,199.473,208.022,199.473,206.122,1111.7275680509
2021-12-08,206.122,206.122,204.222,205.173,803.26527880952
2021-12-09,204.222,204.222,198.524,200.423,5746.0313128996
2021-12-10,199.473,203.273,195.674,196.624,6905.1336352709
2021-12-13,196.624,201.373,195.674,201.373,3273.0691373772
2021-12-14,201.373,201.373,196.624,200.423,5303.866939243
2021-12-15,199.473,203.273,194.724,194.724,1327.5458932881
2021-12-16,195.674,204.222,195.674,204.222,1806.5572980828
2021-12-17,204.222,210.871,190.924,192.824,5940.7941917721
2021-12-20,189.975,196.624,188.55,196.624,3483.6236010232
2021-12-21,194.724,204.222,194.724,202.323,7954.7476365462
2021-12-22,202.323,204.222,199.473,200.423,1277.012822013
2021-12-23,199.473,199.473,193.774,193.774,1508.6227320237
2021-12-27,193.774,196.624,189.025,191.874,1801.2934364916
2021-12-28,192.824,194.724,188.075,188.075,5708.1315094433
2021-12-29,186.175,186.175,181.426,184.275,8947.5119326372
2021-12-30,183.325,183.325,170.977,170.977,18229.805462471
2022-01-03,179.526,186.65,179.526,183.801,2742.4718889893
2022-01-04,185.225,196.624,185.225,189.975,4552.1875040267
2022-01-05,194.724,195.674,192.824,194.724,1207.5298490099
2022-01-07,194.724,196.624,191.874,194.724,1870.7764094948
2022-01-10,193.774,194.724,192.824,192.824,1993.9507707277
2022-01-11,191.874,195.674,191.874,195.674,1361.2346074714
2022-01-12,195.674,195.674,192.824,193.774,780.10428780846
2022-01-13,192.824,195.674,192.824,195.674,641.1383418021
2022-01-14,195.674,196.624,193.774,195.674,805.37082344598
2022-01-17,195.674,196.624,194.724,195.674,22424.0503783
2022-01-18,195.674,195.674,193.774,194.724,396.89516397273
2022-01-19,193.774,194.724,192.824,194.724,932.75627395182
2022-01-20,194.724,195.674,193.774,195.674,24472.745309575
2022-01-21,194.724,194.724,189.025,193.774,1519.150455206
2022-01-24,190.924,193.774,181.426,183.801,2545.6034654802
2022-01-25,183.801,187.125,180.476,184.75,1064.3528137306
2022-01-26,184.75,189.025,184.75,187.125,704.3046808959
2022-01-27,187.125,188.075,186.175,187.125,338.99268647007
